action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,33306,[],CHEMBL804884,The compound was evaluated for binding affinity against sigma opioid receptor using [3H]DTG radioligand in guinea pig membranes,B,,,BAO_0000190,BAO_0000249,cell membrane format,C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2,,,CHEMBL1127129,Bioorg Med Chem Lett,1993.0,"{'bei': '26.03', 'le': '0.49', 'lle': '2.84', 'sei': '29.29'}",CHEMBL67010,,CHEMBL67010,7.14,0,http://www.openphacts.org/units/Nanomolar,115498,=,1,1,=,,IC50,nM,,72.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,72.0
,,34563,[],CHEMBL804884,The compound was evaluated for binding affinity against sigma opioid receptor using [3H]DTG radioligand in guinea pig membranes,B,,,BAO_0000190,BAO_0000249,cell membrane format,C/C(=N\C12CC3CC(CC(C3)C1)C2)Nc1ccccc1C.Cl,,,CHEMBL1127129,Bioorg Med Chem Lett,1993.0,"{'bei': '29.11', 'le': '0.53', 'lle': '3.43', 'sei': '33.71'}",CHEMBL542638,,CHEMBL1191528,8.22,0,http://www.openphacts.org/units/Nanomolar,115495,=,1,1,=,,IC50,nM,,6.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,6.0
,,46551,[],CHEMBL804884,The compound was evaluated for binding affinity against sigma opioid receptor using [3H]DTG radioligand in guinea pig membranes,B,,,BAO_0000190,BAO_0000249,cell membrane format,C/C(=N\C1CCCCC1)Nc1ccccc1C.Cl,,,CHEMBL1127129,Bioorg Med Chem Lett,1993.0,"{'bei': '34.93', 'le': '0.65', 'lle': '3.89', 'sei': '32.99'}",CHEMBL544054,,CHEMBL1192761,8.05,0,http://www.openphacts.org/units/Nanomolar,115496,=,1,1,=,,IC50,nM,,9.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,9.0
,,51708,[],CHEMBL804884,The compound was evaluated for binding affinity against sigma opioid receptor using [3H]DTG radioligand in guinea pig membranes,B,,,BAO_0000190,BAO_0000249,cell membrane format,C/C(=N\C12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,,,CHEMBL1127129,Bioorg Med Chem Lett,1993.0,"{'bei': '23.87', 'le': '0.44', 'lle': '2.87', 'sei': '31.96'}",CHEMBL67388,,CHEMBL67388,7.80,0,http://www.openphacts.org/units/Nanomolar,115497,=,1,1,=,,IC50,nM,,16.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,16.0
,,53078,[],CHEMBL804884,The compound was evaluated for binding affinity against sigma opioid receptor using [3H]DTG radioligand in guinea pig membranes,B,,,BAO_0000190,BAO_0000249,cell membrane format,C/C(=N\c1ccccc1C)Nc1ccccc1C.Cl,,,CHEMBL1127129,Bioorg Med Chem Lett,1993.0,"{'bei': '32.83', 'le': '0.59', 'lle': '3.35', 'sei': '32.08'}",CHEMBL538754,,CHEMBL1189436,7.82,0,http://www.openphacts.org/units/Nanomolar,115500,=,1,1,=,,IC50,nM,,15.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,15.0
,,61954,[],CHEMBL804884,The compound was evaluated for binding affinity against sigma opioid receptor using [3H]DTG radioligand in guinea pig membranes,B,,,BAO_0000190,BAO_0000249,cell membrane format,C/C(=N\C1CC2CCC1C2)Nc1ccccc1C,,,CHEMBL1127129,Bioorg Med Chem Lett,1993.0,"{'bei': '33.20', 'le': '0.61', 'lle': '4.04', 'sei': '32.99'}",CHEMBL63508,,CHEMBL63508,8.05,0,http://www.openphacts.org/units/Nanomolar,115501,=,1,1,=,,IC50,nM,,9.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,9.0
,,67137,[],CHEMBL804884,The compound was evaluated for binding affinity against sigma opioid receptor using [3H]DTG radioligand in guinea pig membranes,B,,,BAO_0000190,BAO_0000249,cell membrane format,C/C(=N\c1ccc(Br)cc1C)Nc1ccc(Br)cc1C,,,CHEMBL1127129,Bioorg Med Chem Lett,1993.0,"{'bei': '19.15', 'le': '0.52', 'lle': '1.60', 'sei': '31.10'}",CHEMBL67665,,CHEMBL67665,7.58,0,http://www.openphacts.org/units/Nanomolar,115499,=,1,1,=,,IC50,nM,,26.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,26.0
,,68349,[],CHEMBL804884,The compound was evaluated for binding affinity against sigma opioid receptor using [3H]DTG radioligand in guinea pig membranes,B,,,BAO_0000190,BAO_0000249,cell membrane format,Cc1ccccc1NC(=N)Nc1ccccc1C,,,CHEMBL1127129,Bioorg Med Chem Lett,1993.0,"{'bei': '31.32', 'le': '0.57', 'lle': '3.73', 'sei': '15.64'}",CHEMBL282433,DITOLYLGUANIDINE,CHEMBL282433,7.50,1,http://www.openphacts.org/units/Nanomolar,115494,=,1,1,=,,IC50,nM,,32.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,32.0
,,108356,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccco3)CC2)c2ccc(F)cc2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '16.80', 'le': '0.31', 'lle': '2.38', 'sei': '25.53'}",CHEMBL159967,,CHEMBL159967,7.37,0,http://www.openphacts.org/units/Nanomolar,317786,=,1,1,=,,IC50,nM,,43.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,43.0
,,117620,[],CHEMBL803934,Sigma receptor binding was determined by labeling with radioligand [3H](+)-pentazocine on frozen membranes obtained from frozen guinea pig brain,B,,,BAO_0000190,BAO_0000019,assay format,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,,,CHEMBL1129953,J Med Chem,1997.0,"{'bei': '18.74', 'le': '0.34', 'lle': '2.73', 'sei': '49.46'}",CHEMBL26320,,CHEMBL26320,7.77,1,http://www.openphacts.org/units/Nanomolar,317768,=,1,1,=,,IC50,nM,,17.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,17.0
