molecule_chembl_id,canonical_smiles,standard_value,standard_value_M,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL67010,C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2,72.0,7.200000000000001e-08,7.142667503568731,274.45200000000006,4.295900000000003,1,1
CHEMBL542638,C/C(=N\C12CC3CC(CC(C3)C1)C2)Nc1ccccc1C.Cl,6.0,6.000000000000001e-09,8.221848749616356,318.892,5.215920000000006,1,1
CHEMBL544054,C/C(=N\C1CCCCC1)Nc1ccccc1C.Cl,9.0,9.000000000000001e-09,8.045757490560675,266.816,4.579820000000005,1,1
CHEMBL67388,C/C(=N\C12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,16.0,1.6e-08,7.795880017344075,326.52800000000013,4.932000000000005,1,1
CHEMBL538754,C/C(=N\c1ccccc1C)Nc1ccccc1C.Cl,15.0,1.5000000000000002e-08,7.823908740944319,274.79499999999996,4.887240000000004,1,1
CHEMBL63508,C/C(=N\C1CC2CCC1C2)Nc1ccccc1C,9.0,9.000000000000001e-09,8.045757490560675,242.366,4.013920000000003,1,1
CHEMBL67665,C/C(=N\c1ccc(Br)cc1C)Nc1ccc(Br)cc1C,26.0,2.6e-08,7.585026652029182,396.12600000000003,5.990440000000004,1,1
CHEMBL282433,Cc1ccccc1NC(=N)Nc1ccccc1C,32.0,3.2e-08,7.494850021680094,239.32200000000003,3.7622100000000014,3,1
CHEMBL159967,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccco3)CC2)c2ccc(F)cc2)cc1,43.0,4.3e-08,7.366531544420414,438.51800000000014,4.994800000000005,0,4
CHEMBL26320,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,17.0,1.7e-08,7.769551078621726,414.59300000000013,5.0430000000000055,0,3
CHEMBL159608,Fc1ccc(C(OCCN2CCN(CCCc3cccnc3)CC2)c2ccc(F)cc2)cc1,79.0,7.9e-08,7.102372908709558,451.5610000000001,4.716200000000005,0,4
CHEMBL159320,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccs3)CC2)c2ccc(F)cc2)cc1,41.0,4.1e-08,7.387216143280264,454.5860000000001,5.463300000000006,0,4
CHEMBL164037,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccnc3)CC2)c2ccc(F)cc2)cc1,59.0,5.900000000000001e-08,7.229147988357855,449.54500000000013,4.796800000000005,0,4
CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,43.0,4.3e-08,7.366531544420414,450.5730000000001,5.3212000000000055,0,3
CHEMBL159319,Fc1ccc(C(OCCN2CCN(CCCc3ccco3)CC2)c2ccc(F)cc2)cc1,62.0,6.2e-08,7.207608310501746,440.5340000000001,4.914200000000005,0,4
CHEMBL286991,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,51.0,5.1e-08,7.292429823902063,448.55700000000013,5.401800000000006,0,3
CHEMBL163980,Fc1ccc(C(OCCN2CCN(CCCc3cccs3)CC2)c2ccc(F)cc2)cc1,38.0,3.8e-08,7.42021640338319,456.6020000000001,5.382700000000005,0,4
CHEMBL607159,CN(C(=O)Nc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,5303.0,5.303000000000001e-06,5.275478372881437,370.3240000000003,4.864100000000004,1,2
CHEMBL607212,CN(C(=O)COc1cccc(Cl)c1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,42.0,4.2000000000000006e-08,7.376750709602099,385.3350000000003,4.237600000000003,0,3
CHEMBL301867,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,194.0,1.9400000000000002e-07,6.7121982700697735,369.3360000000003,4.4013000000000035,0,2
CHEMBL607273,CN(C(=O)CSc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,200.0,2.0000000000000002e-07,6.698970004336019,332.51300000000015,3.6441000000000026,0,3
CHEMBL2303661,CN(CCc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1,2.0,2e-09,8.698970004336019,355.35300000000024,4.874700000000004,0,2
CHEMBL607450,CN(C(=O)Cc1ccc(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,278.0,2.780000000000001e-07,6.555955204081924,369.3360000000003,4.4013000000000035,0,2
CHEMBL607211,CN(/C(S)=N/c1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,3267.0,3.267e-06,5.485850865524562,386.39200000000034,5.249500000000005,1,2
CHEMBL607276,CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@H]1N1CCCC1,7551.0,7.551e-06,5.121995529731975,355.30900000000025,4.472400000000003,0,2
CHEMBL606887,CN(C(=O)Cc1cccs1)[C@H]1CCCC[C@H]1N1CCCC1,1516.0,1.5160000000000002e-06,5.819300798703965,306.4750000000001,3.1560000000000015,0,3
CHEMBL607448,COc1cc(CC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)cc(OC)c1OC,302.0,3.020000000000001e-07,6.519993057042849,390.5240000000002,3.120300000000002,0,5
CHEMBL606891,CN(C(=O)c1cccc2ccccc12)[C@H]1CCCC[C@H]1N1CCCC1,2593.0,2.593e-06,5.586197483230649,336.4790000000001,4.318800000000004,0,2
CHEMBL607392,CN(C(=O)Cc1cccc([N+](=O)[O-])c1)[C@@H]1CCCC[C@@H]1N1CCCC1,1609.0,1.6090000000000002e-06,5.793443955900971,345.44300000000015,3.0027000000000017,0,4
CHEMBL607210,CN(C(=O)COc1cc(Cl)c(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,128.0,1.28e-07,6.892790030352131,419.78000000000037,4.8910000000000045,0,3
CHEMBL607452,CN(C(=O)Cc1cc(Cl)c(Cl)cc1[N+](=O)[O-])[C@@H]1CCCC[C@@H]1N1CCCC1,5952.0,5.952000000000001e-06,5.225337077462178,414.33300000000037,4.309500000000003,0,4
CHEMBL606889,CN(C(=O)CCCOc1ccc(Cl)cc1Cl)[C@H]1CCCC[C@H]1N1CCCC1,418.0,4.18e-07,6.3788237182249645,413.3890000000004,5.017800000000005,0,3
CHEMBL606835,CN(C(=O)Cc1ccc([N+](=O)[O-])cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,2374.0,2.374e-06,5.624519285381427,345.44300000000015,3.0027000000000017,0,4
CHEMBL607213,COc1cc(CCC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)cc(OC)c1OC,2670.0,2.6700000000000003e-06,5.573488738635425,404.5510000000003,3.5104000000000024,0,5
CHEMBL606890,CN(C(=O)C1(c2ccccc2)CC1)[C@H]1CCCC[C@H]1N1CCCC1,6058.0,6.058e-06,5.217670731003163,326.4840000000001,3.5836000000000023,0,2
CHEMBL606834,COc1ccccc1CC(=O)N(C)[C@@H]1CCCC[C@@H]1N1CCCC1,208.0,2.08e-07,6.681936665037238,330.4720000000001,3.103100000000002,0,3
