molecule_chembl_id,canonical_smiles,standard_value,standard_value_M,pIC50
CHEMBL67010,C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2,72.0,7.200000000000001e-08,7.142667503568731
CHEMBL542638,C/C(=N\C12CC3CC(CC(C3)C1)C2)Nc1ccccc1C.Cl,6.0,6.000000000000001e-09,8.221848749616356
CHEMBL544054,C/C(=N\C1CCCCC1)Nc1ccccc1C.Cl,9.0,9.000000000000001e-09,8.045757490560675
CHEMBL67388,C/C(=N\C12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,16.0,1.6e-08,7.795880017344075
CHEMBL538754,C/C(=N\c1ccccc1C)Nc1ccccc1C.Cl,15.0,1.5000000000000002e-08,7.823908740944319
CHEMBL63508,C/C(=N\C1CC2CCC1C2)Nc1ccccc1C,9.0,9.000000000000001e-09,8.045757490560675
CHEMBL67665,C/C(=N\c1ccc(Br)cc1C)Nc1ccc(Br)cc1C,26.0,2.6e-08,7.585026652029182
CHEMBL282433,Cc1ccccc1NC(=N)Nc1ccccc1C,32.0,3.2e-08,7.494850021680094
CHEMBL159967,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccco3)CC2)c2ccc(F)cc2)cc1,43.0,4.3e-08,7.366531544420414
CHEMBL26320,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,17.0,1.7e-08,7.769551078621726
CHEMBL159608,Fc1ccc(C(OCCN2CCN(CCCc3cccnc3)CC2)c2ccc(F)cc2)cc1,79.0,7.9e-08,7.102372908709558
CHEMBL159320,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccs3)CC2)c2ccc(F)cc2)cc1,41.0,4.1e-08,7.3872161432802645
CHEMBL164037,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccnc3)CC2)c2ccc(F)cc2)cc1,59.0,5.9000000000000006e-08,7.229147988357855
