molecule_chembl_id,canonical_smiles,standard_value
CHEMBL67010,C/C(=N\C1CCCCC1)NC12CC3CC(CC(C3)C1)C2,72.0
CHEMBL542638,C/C(=N\C12CC3CC(CC(C3)C1)C2)Nc1ccccc1C.Cl,6.0
CHEMBL544054,C/C(=N\C1CCCCC1)Nc1ccccc1C.Cl,9.0
CHEMBL67388,C/C(=N\C12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,16.0
CHEMBL538754,C/C(=N\c1ccccc1C)Nc1ccccc1C.Cl,15.0
CHEMBL63508,C/C(=N\C1CC2CCC1C2)Nc1ccccc1C,9.0
CHEMBL67665,C/C(=N\c1ccc(Br)cc1C)Nc1ccc(Br)cc1C,26.0
CHEMBL282433,Cc1ccccc1NC(=N)Nc1ccccc1C,32.0
CHEMBL159967,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccco3)CC2)c2ccc(F)cc2)cc1,43.0
CHEMBL26320,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,17.0
CHEMBL159608,Fc1ccc(C(OCCN2CCN(CCCc3cccnc3)CC2)c2ccc(F)cc2)cc1,79.0
CHEMBL159320,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccs3)CC2)c2ccc(F)cc2)cc1,41.0
CHEMBL164037,Fc1ccc(C(OCCN2CCN(C/C=C/c3cccnc3)CC2)c2ccc(F)cc2)cc1,59.0
CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,43.0
CHEMBL159319,Fc1ccc(C(OCCN2CCN(CCCc3ccco3)CC2)c2ccc(F)cc2)cc1,62.0
CHEMBL286991,Fc1ccc(C(OCCN2CCN(C/C=C/c3ccccc3)CC2)c2ccc(F)cc2)cc1,51.0
CHEMBL163980,Fc1ccc(C(OCCN2CCN(CCCc3cccs3)CC2)c2ccc(F)cc2)cc1,38.0
CHEMBL607159,CN(C(=O)Nc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,5303.0
CHEMBL607212,CN(C(=O)COc1cccc(Cl)c1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,42.0
CHEMBL301867,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,194.0
CHEMBL607273,CN(C(=O)CSc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,200.0
CHEMBL2303661,CN(CCc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1,2.0
CHEMBL607450,CN(C(=O)Cc1ccc(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,278.0
CHEMBL607211,CN(/C(S)=N/c1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,3267.0
CHEMBL607276,CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@H]1N1CCCC1,7551.0
CHEMBL606887,CN(C(=O)Cc1cccs1)[C@H]1CCCC[C@H]1N1CCCC1,1516.0
CHEMBL607448,COc1cc(CC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)cc(OC)c1OC,302.0
CHEMBL606891,CN(C(=O)c1cccc2ccccc12)[C@H]1CCCC[C@H]1N1CCCC1,2593.0
CHEMBL607392,CN(C(=O)Cc1cccc([N+](=O)[O-])c1)[C@@H]1CCCC[C@@H]1N1CCCC1,1609.0
CHEMBL607210,CN(C(=O)COc1cc(Cl)c(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,128.0
CHEMBL607452,CN(C(=O)Cc1cc(Cl)c(Cl)cc1[N+](=O)[O-])[C@@H]1CCCC[C@@H]1N1CCCC1,5952.0
CHEMBL606889,CN(C(=O)CCCOc1ccc(Cl)cc1Cl)[C@H]1CCCC[C@H]1N1CCCC1,418.0
CHEMBL606835,CN(C(=O)Cc1ccc([N+](=O)[O-])cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,2374.0
CHEMBL607213,COc1cc(CCC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)cc(OC)c1OC,2670.0
CHEMBL606890,CN(C(=O)C1(c2ccccc2)CC1)[C@H]1CCCC[C@H]1N1CCCC1,6058.0
CHEMBL606834,COc1ccccc1CC(=O)N(C)[C@@H]1CCCC[C@@H]1N1CCCC1,208.0
CHEMBL606783,CN(C(=O)Cc1c(Cl)cccc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,1385.0
CHEMBL607158,CN(C(=O)/C=C/c1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,3650.0
CHEMBL607333,CN(C(=O)COc1ccc(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,76.0
CHEMBL607449,CN(C(=O)Cc1cc(Cl)c(Cl)cc1N)[C@@H]1CCCC[C@@H]1N1CCCC1,12.0
CHEMBL606784,COc1cccc(CC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)c1,211.0
CHEMBL607332,CN(C(=O)Cc1cccc2ccccc12)[C@H]1CCCC[C@H]1N1CCCC1,77.0
CHEMBL607278,CN(CCc1ccccc1)[C@H]1CCCC[C@H]1N1CCCC1,125.0
CHEMBL606937,CN(CCc1ccc2ccccc2c1)[C@H]1CCCC[C@H]1N1CCCC1,37.0
CHEMBL607274,CN(C(=O)Cc1ccc(Br)cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,228.0
CHEMBL607157,CN(C(=O)COc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,1247.0
CHEMBL607214,CN(C(=O)CCc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,1335.0
