molecule_chembl_id,canonical_smiles,standard_value,standard_value_M,pIC50
CHEMBL36966,CN(C)CCCCCCCCCCOc1ccc2oc(-c3ccccc3)cc(=O)c2c1,297.0,2.97e-07,6.527243550682788
CHEMBL2204668,CN1CCN(Cc2ccc(C(c3ccccc3)C34CC5CC(CC(C5)C3)C4)cc2)CC1,5.2,5.2e-09,8.2839966563652
CHEMBL193699,O=C1[C@@H]2Cc3ccccc3CN2C(=O)N1C1CCN(Cc2ccccc2)CC1,2.4,2.4e-09,8.619788758288394
CHEMBL116711,Fc1ccc2[nH]c3c(c2c1)C1CCC(C3)N1CCCN1Cc2ccccc2C1,54.0,5.4e-08,7.267606240177032
CHEMBL726,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,20.0,2e-08,7.698970004336019
CHEMBL434593,O=c1cc(-c2ccccc2)oc2cccc(OCCCCCCN3CCC(O)CC3)c12,116.0,1.16e-07,6.935542010773082
CHEMBL808,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,21109.0,2.1109e-05,4.675532340106304
CHEMBL55970,N=C(Nc1ccccc1I)NC12CC3CC(CC(C3)C1)C2,6.2,6.200000000000001e-09,8.207608310501746
CHEMBL102119,Fc1ccc(C(OCCN2CCN(CCOC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c2ccc(F)cc2)cc1,10000.0,1e-05,5.0
CHEMBL541848,CCc1cccc(N(C)C(=N)Nc2cc(Br)cc(OC(F)(F)F)c2Br)c1.Cl,113.0,1.13e-07,6.94692155651658
CHEMBL60889,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,305.6,3.056000000000001e-07,6.514846650096348
CHEMBL606937,CN(CCc1ccc2ccccc2c1)[C@H]1CCCC[C@H]1N1CCCC1,37.0,3.7e-08,7.431798275933005
CHEMBL194797,CN(CCCCN1C(=O)[C@@H]2Cc3ccccc3CN2C1=O)CCc1ccccc1,9.9,9.900000000000001e-09,8.00436480540245
CHEMBL365786,CN(CCCN1C(=O)[C@@H]2Cc3ccccc3CN2C1=O)CCc1ccccc1,2.1,2.1e-09,8.67778070526608
CHEMBL404849,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,117.2,1.172e-07,6.931072388317928
CHEMBL542481,CCc1cccc(NC(=N)Nc2cc(Br)cc(CC)c2Br)c1.Cl,18.2,1.82e-08,7.739928612014925
CHEMBL38547,O=c1cc(-c2ccccc2)oc2ccc(OCCCCCCN3CCN(c4ccc(Cl)cc4)CC3)cc12,80.0,8e-08,7.096910013008056
CHEMBL331006,Fc1ccc2[nH]c3c(c2c1)C1CCC(C3)N1,1473.0,1.473e-06,5.831797253157369
CHEMBL553817,CC1(C)C2CCC1(C)C(/N=C(\N)Nc1ccccc1I)C2.Cl,18.0,1.8000000000000002e-08,7.744727494896693
CHEMBL2023826,c1ccc(CN2CCN(c3ccc(C(c4ccccc4)C45CC6CC(CC(C6)C4)C5)cc3)CC2)cc1,63.3,6.33e-08,7.198596289982645
CHEMBL1743993,Cl.c1coc(CN2CCC3(CCCc4ccccc43)CC2)c1,9.55,9.55e-09,8.019996628416253
CHEMBL35711,Fc1ccc2[nH]c3c(c2c1)C1CCC(C3)N1CCCCc1ccccc1,38.0,3.8e-08,7.42021640338319
CHEMBL545688,CCCCN1CCC2=C(Cc3ccccc32)C1.Cl,1.862,1.8619999999999998e-09,8.730020323354676
CHEMBL555398,Cl.Clc1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,4.677,4.677e-09,8.330032630091496
CHEMBL1788381,CCCCN1CCC2(CCCc3ccccc32)CC1.Cl,1.202,1.202e-09,8.92009553233328
CHEMBL606890,CN(C(=O)C1(c2ccccc2)CC1)[C@H]1CCCC[C@H]1N1CCCC1,6058.0,6.058e-06,5.217670731003163
CHEMBL320190,CN(C)C1Cc2ccccc2C(C)(c2ccccc2)C1,5.495,5.4950000000000006e-09,8.260032303240491
CHEMBL540838,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(SC)c2Br)c1.Cl,180.0,1.8000000000000002e-07,6.7447274948966935
CHEMBL544280,CC(C)(C)c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1.Cl,97.72,9.772e-08,7.010016541698601
CHEMBL420245,CCc1cccc(N(CC)C(=N)Nc2cccc3ccccc23)c1,2190.0,2.19e-06,5.6595558851598815
CHEMBL341003,CCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,9.5,9.5e-09,8.022276394711152
CHEMBL38130,c1ccc(CCCCN2C3CCC2c2c([nH]c4ccccc24)C3)cc1,25.0,2.5e-08,7.602059991327962
CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1031.0,1.0310000000000002e-06,5.986741334716483
CHEMBL554618,CCc1cccc(N(C)C(=N)Nc2ccccc2Cl)c1.Cl,71.8,7.180000000000002e-08,7.1438755557577
CHEMBL418239,CN(C)CCOc1ccc2oc(-c3ccccc3)cc(=O)c2c1,590.0,5.900000000000001e-07,6.229147988357855
CHEMBL553841,CCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,330.0,3.3e-07,6.481486060122113
CHEMBL607332,CN(C(=O)Cc1cccc2ccccc12)[C@H]1CCCC[C@H]1N1CCCC1,77.0,7.7e-08,7.113509274827518
CHEMBL38862,Cc1c(-c2ccccc2)oc2ccc(OCCCCCCN3CCC(O)CC3)cc2c1=O,36.0,3.6000000000000005e-08,7.443697499232712
CHEMBL552831,CCc1cccc(NC(=N)Nc2cc(CC)cc(CC)c2)c1.Cl,8.0,8e-09,8.096910013008056
CHEMBL607159,CN(C(=O)Nc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,5303.0,5.303000000000001e-06,5.275478372881437
